stock_code,stock_name,market,legal_basis,legal_limit_rate,zero_limit_restricted
015760,한국전력,KOSPI,자본시장법,40,False
030200,KT,KOSPI,전기통신사업법,49,False
032640,LG유플러스,KOSPI,전기통신사업법,49,False
017670,SK텔레콤,KOSPI,전기통신사업법,49,False
031310,아이즈비전,KOSDAQ,전기통신사업법,49,False
036630,세종텔레콤,KOSDAQ,전기통신사업법,49,False
065530,와이어블,KOSDAQ,전기통신사업법,49,False
036460,한국가스공사,KOSPI,공기업민영화법,30,False
034120,SBS,KOSPI,방송법,0,True
058400,KNN,KOSDAQ,방송법,0,True
033830,티비씨,KOSDAQ,방송법,0,True
040300,YTN,KOSDAQ,방송법,10,False
057050,현대홈쇼핑,KOSPI,방송법,49,False
126560,현대퓨처넷,KOSPI,방송법,49,False
053210,스카이라이프,KOSPI,방송법,49,False
037560,LG헬로비전,KOSPI,방송법,49,False
039340,한국경제TV,KOSDAQ,방송법,49,False
039290,인포뱅크,KOSDAQ,방송법,49,False
033130,디지틀조선,KOSDAQ,방송법,49,False
036030,케이티알파,KOSDAQ,방송법,49,False
066790,씨씨에스,KOSDAQ,방송법,49,False
035760,CJ ENM,KOSDAQ,방송법,49,False
122450,KX,KOSDAQ,방송법,49,False
036420,콘텐트리중앙,KOSPI,신문법,30,False
127710,아시아경제,KOSDAQ,신문법,30,False
003490,대한항공,KOSPI,항공법,49.99,False
020560,아시아나항공,KOSPI,항공법,49.99,False
003495,대한항공우,KOSPI,항공법,49.99,False
091810,트리니티항공,KOSPI,항공법,49.99,False
298690,에어부산,KOSPI,항공법,49.99,False
272450,진에어,KOSPI,항공법,49.99,False
089590,제주항공,KOSPI,항공법,49.99,False
